Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,120,1755177260602,1755177260604.9531,1755177260605.7322
3,6,120,1755177260614,1755177260615.843,1755177260616.488
3,6,120,1755177260624,1755177260625.2559,1755177260625.713
3,6,120,1755177260638,1755177260640.6982,1755177260641.772
3,6,120,1755177260653,1755177260656.5298,1755177260657.5571
3,6,120,1755177260669,1755177260670.1848,1755177260670.582
3,6,120,1755177260679,1755177260681.99,1755177260683.105
3,6,120,1755177260690,1755177260693.0151,1755177260693.394
3,6,120,1755177260702,1755177260703.6592,1755177260704.046
3,6,120,1755177260716,1755177260718.817,1755177260719.256
3,6,120,1755177260728,1755177260730.4338,1755177260730.851
3,6,120,1755177260740,1755177260742.024,1755177260742.471
3,6,120,1755177260754,1755177260756.738,1755177260757.88
3,6,120,1755177260764,1755177260767.0369,1755177260767.476
3,6,120,1755177260776,1755177260777.874,1755177260778.2468
3,6,120,1755177260786,1755177260787.602,1755177260787.982
3,6,120,1755177260797,1755177260798.42,1755177260798.848
3,6,120,1755177260808,1755177260810.128,1755177260810.545
3,6,120,1755177260819,1755177260820.5261,1755177260820.938
3,6,120,1755177260833,1755177260835.673,1755177260836.085
3,6,120,1755177260844,1755177260845.3389,1755177260845.682
3,6,120,1755177260855,1755177260856.983,1755177260858.5251
3,6,120,1755177260869,1755177260871.83,1755177260872.683
3,6,120,1755177260883,1755177260885.6252,1755177260886.517
3,6,120,1755177260895,1755177260897.65,1755177260898.4949
3,6,120,1755177260907,1755177260909.858,1755177260910.796
3,6,120,1755177260919,1755177260922.497,1755177260923.414
3,6,120,1755177260931,1755177260935.434,1755177260936.352
3,6,120,1755177260947,1755177260950.096,1755177260951.072
3,6,120,1755177260961,1755177260963.913,1755177260964.823
3,6,120,1755177260973,1755177260975.907,1755177260976.713
3,6,120,1755177260986,1755177260988.3718,1755177260989.174
3,6,120,1755177260999,1755177261002.032,1755177261002.8757
3,6,120,1755177261013,1755177261016.386,1755177261017.418
3,6,120,1755177261027,1755177261030.741,1755177261031.641
3,6,120,1755177261042,1755177261044.9678,1755177261045.8528
3,6,120,1755177261055,1755177261061.385,1755177261062.668
3,6,120,1755177261090,1755177261101.618,1755177261102.148
3,6,120,1755177261101,1755177261110.2158,1755177261110.668
3,6,120,1755177261114,1755177261117.367,1755177261117.849
3,6,120,1755177261126,1755177261127.831,1755177261128.271
3,6,120,1755177261138,1755177261140.132,1755177261140.7712
3,6,120,1755177261151,1755177261153.74,1755177261154.446
3,6,120,1755177261166,1755177261167.859,1755177261168.4028
3,6,120,1755177261178,1755177261180.0608,1755177261180.621
3,6,120,1755177261189,1755177261191.2583,1755177261191.822
3,6,120,1755177261202,1755177261204.0242,1755177261204.746
3,6,120,1755177261216,1755177261218.2651,1755177261218.828
3,6,120,1755177261227,1755177261229.384,1755177261229.919
3,6,120,1755177261239,1755177261241.349,1755177261241.9587
3,6,120,1755177261251,1755177261253.129,1755177261253.855
3,6,120,1755177261265,1755177261268.0261,1755177261268.748
3,6,120,1755177261279,1755177261280.8562,1755177261281.4897
3,6,120,1755177261289,1755177261291.5498,1755177261292.243
3,6,120,1755177261300,1755177261302.351,1755177261303.0369
3,6,120,1755177261311,1755177261313.1929,1755177261313.864
3,6,120,1755177261322,1755177261324.426,1755177261325.0999
3,6,120,1755177261333,1755177261335.833,1755177261336.521
3,6,120,1755177261346,1755177261348.5508,1755177261349.238
3,6,120,1755177261359,1755177261361.234,1755177261361.938
3,6,120,1755177261370,1755177261372.641,1755177261373.243
3,6,120,1755177261381,1755177261384.0662,1755177261384.7349
3,6,120,1755177261396,1755177261397.581,1755177261398.231
3,6,120,1755177261406,1755177261408.4102,1755177261409.02
3,6,120,1755177261419,1755177261420.7603,1755177261421.45
3,6,120,1755177261431,1755177261433.305,1755177261434.402
3,6,120,1755177261442,1755177261444.538,1755177261445.303
3,6,120,1755177261457,1755177261458.9429,1755177261459.903
3,6,120,1755177261468,1755177261470.175,1755177261470.829
3,6,120,1755177261479,1755177261481.662,1755177261482.421
3,6,120,1755177261490,1755177261492.841,1755177261493.585
3,6,120,1755177261503,1755177261505.628,1755177261506.309
3,6,120,1755177261514,1755177261517.445,1755177261518.046
