Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172706530,1755172706532.8489,1755172706533.577
3,6,100,1755172706544,1755172706546.344,1755172706547.2031
3,6,100,1755172706557,1755172706559.2803,1755172706560.0151
3,6,100,1755172706571,1755172706573.449,1755172706574.1948
3,6,100,1755172706584,1755172706586.7322,1755172706587.4482
3,6,100,1755172706597,1755172706599.487,1755172706600.2332
3,6,100,1755172706611,1755172706613.607,1755172706614.409
3,6,100,1755172706626,1755172706628.772,1755172706629.699
3,6,100,1755172706639,1755172706641.122,1755172706641.906
3,6,100,1755172706651,1755172706653.802,1755172706654.5369
3,6,100,1755172706664,1755172706667.615,1755172706668.321
3,6,100,1755172706677,1755172706679.981,1755172706680.706
3,6,100,1755172706690,1755172706692.2651,1755172706692.991
3,6,100,1755172706705,1755172706707.2483,1755172706708.2131
3,6,100,1755172706717,1755172706719.093,1755172706719.7212
3,6,100,1755172706729,1755172706731.553,1755172706732.1921
3,6,100,1755172706742,1755172706745.0781,1755172706745.939
3,6,100,1755172706755,1755172706757.3892,1755172706758.1438
3,6,100,1755172706769,1755172706771.1091,1755172706771.821
3,6,100,1755172706781,1755172706783.1501,1755172706783.762
3,6,100,1755172706795,1755172706797.178,1755172706798.0217
3,6,100,1755172706809,1755172706811.239,1755172706812.083
3,6,100,1755172706821,1755172706823.2168,1755172706823.859
3,6,100,1755172706835,1755172706837.646,1755172706838.458
3,6,100,1755172706847,1755172706850.0093,1755172706850.6921
3,6,100,1755172706861,1755172706864.184,1755172706865.0352
3,6,100,1755172706875,1755172706878.19,1755172706878.9949
3,6,100,1755172706890,1755172706892.989,1755172706893.91
3,6,100,1755172706905,1755172706906.7732,1755172706907.424
3,6,100,1755172706918,1755172706919.504,1755172706920.2039
3,6,100,1755172706930,1755172706931.379,1755172706931.9019
3,6,100,1755172706942,1755172706944.237,1755172706945.239
3,6,100,1755172706955,1755172706957.1562,1755172706957.798
3,6,100,1755172706968,1755172706969.925,1755172706970.655
3,6,100,1755172706982,1755172706984.842,1755172706985.445
3,6,100,1755172706996,1755172706998.9277,1755172706999.91
3,6,100,1755172707009,1755172707012.1812,1755172707012.914
3,6,100,1755172707024,1755172707027.24,1755172707028.193
3,6,100,1755172707039,1755172707040.917,1755172707041.6582
3,6,100,1755172707051,1755172707053.447,1755172707054.1482
3,6,100,1755172707066,1755172707068.459,1755172707069.417
3,6,100,1755172707081,1755172707083.2761,1755172707084.0452
3,6,100,1755172707093,1755172707096.2778,1755172707096.983
3,6,100,1755172707108,1755172707111.223,1755172707112.093
3,6,100,1755172707121,1755172707123.2651,1755172707123.903
3,6,100,1755172707134,1755172707136.623,1755172707137.2412
3,6,100,1755172707148,1755172707150.593,1755172707151.447
3,6,100,1755172707163,1755172707165.19,1755172707166.083
3,6,100,1755172707176,1755172707178.842,1755172707179.5872
3,6,100,1755172707190,1755172707192.2048,1755172707192.905
3,6,100,1755172707202,1755172707205.031,1755172707205.7441
3,6,100,1755172707215,1755172707217.215,1755172707217.9412
3,6,100,1755172707228,1755172707230.347,1755172707231.0469
3,6,100,1755172707243,1755172707245.8408,1755172707246.6719
3,6,100,1755172707257,1755172707259.1538,1755172707259.9812
3,6,100,1755172707269,1755172707271.3777,1755172707272.0972
3,6,100,1755172707284,1755172707286.0562,1755172707286.994
3,6,100,1755172707297,1755172707298.952,1755172707299.691
3,6,100,1755172707309,1755172707311.9978,1755172707312.7732
3,6,100,1755172707323,1755172707325.027,1755172707325.748
3,6,100,1755172707336,1755172707338.534,1755172707339.2761
3,6,100,1755172707349,1755172707351.427,1755172707352.181
3,6,100,1755172707361,1755172707363.8442,1755172707364.562
3,6,100,1755172707376,1755172707379.237,1755172707380.2458
3,6,100,1755172707389,1755172707391.7388,1755172707392.4338
3,6,100,1755172707403,1755172707405.462,1755172707406.173
3,6,100,1755172707416,1755172707418.034,1755172707418.7861
3,6,100,1755172707428,1755172707430.708,1755172707431.477
3,6,100,1755172707441,1755172707443.3323,1755172707444.235
3,6,100,1755172707454,1755172707456.4878,1755172707457.244
3,6,100,1755172707467,1755172707469.492,1755172707470.316
3,6,100,1755172707480,1755172707483.701,1755172707484.395
3,6,100,1755172707493,1755172707496.2617,1755172707496.9978
3,6,100,1755172707508,1755172707510.182,1755172707511.627
3,6,100,1755172707520,1755172707523.0022,1755172707523.8699
3,6,100,1755172707533,1755172707535.72,1755172707536.4521
3,6,100,1755172707546,1755172707548.455,1755172707549.191
3,6,100,1755172707559,1755172707833.216,1755172707834.192
3,6,100,1755172707575,1755172707839.957,1755172707840.294
3,6,100,1755172707590,1755172707845.976,1755172707846.3372
3,6,100,1755172707604,1755172707851.805,1755172707853.057
3,6,100,1755172707618,1755172707859.2373,1755172707859.696
3,6,100,1755172707633,1755172707864.907,1755172707865.238
3,6,100,1755172707649,1755172707871.879,1755172707872.972
3,6,100,1755172707663,1755172707878.5269,1755172707878.8801
3,6,100,1755172707676,1755172707887.761,1755172707888.732
3,6,100,1755172707690,1755172707894.8127,1755172707895.168
3,6,100,1755172707706,1755172707899.62,1755172707900.1758
3,6,100,1755172707720,1755172707905.004,1755172707905.515
3,6,100,1755172707735,1755172707910.5588,1755172707911.0688
3,6,100,1755172707750,1755172707916.1401,1755172707916.6138
3,6,100,1755172707766,1755172707921.7532,1755172707922.309
3,6,100,1755172707782,1755172707928.072,1755172707928.3818
